google/gsoc2012/kalast/50002, Antonis Riakiotakis,Tool development,Blender Foundation
google/gsoc2012/janardhan/40001,A Janardhan Reddy,Digikam - Video Slide Show Generator,KDE
google/gsoc2012/kotwalaadish/16002,Aadish Kotwal,Net-iocache - Analysis of networked software,The Java Pathfinder Team
google/gsoc2012/aadityachauhan/35002,Aaditya Chauhan,Implement Rotated Text,abiword
google/gsoc2012/aakashgoel/22001,Aakash,xReader - the XLOG reader for PostgreSQL,PostgreSQL Project
google/gsoc2012/syst3mw0rm/31001,Aamir Khan,GNU Mailman: Improving archives by extending HyperKitty,Python Software Foundation
google/gsoc2012/aaptel/17002,aaptel,Org-mode – Let Org-mode synchronize with online bug-tracking and todo-list services.,GNU Project
google/gsoc2012/blackjack48/31001,Aaron Pramana,Watchlist grouping and workflow improvements,Wikimedia Foundation
google/gsoc2012/ajs/22001,Aaron Schmitz,JGoogle Package,Joomla!
google/gsoc2012/ashish_mittal/48003,Aashish Mittal,Open311 Module for Kuali Mobility,"Bloomington, IN"
google/gsoc2012/cs_saheel/19001,Abdulellah Alsaheel,Expand Cuckoo Sandbox,The Honeynet Project
google/gsoc2012/badola/26001,Abhinav Badola,Video Metadata Support,KDE
google/gsoc2012/vishwaabhinav/25001,Abhinav Vishwa,Design Guidelines for Android 4.0,OpenIntents
google/gsoc2012/abhirupkgp/19001,Abhirup Mallik,Bayesian Spatial Econometrics with R,R project for statistical computing
google/gsoc2012/abhishekbs/19001,Abhishek B S,Improve the Formula Shape,KDE
google/gsoc2012/abhi7/42019,Abhishek Gupta,Developing a system with multi-lingual capabilities in order to receive answer to user specific queries,Ankur India
google/gsoc2012/abhshk_kmr/4002,Abhishek Kumar,Create Lintian reports frontend,Debian Project 
google/gsoc2012/zaher14/35002,Abu Zaher Md. Faridee,Phylosoc 2012: Apply Machine Learning Algorithm(s) to Ecology Data,National Evolutionary Synthesis Center
google/gsoc2012/hraska/16001,Adam Hraska,"resizable, scalable, concurrent hash-table","HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague"
google/gsoc2012/aditi_mittal/22001,Aditi Mittal,Extension and Integration with External APIs,Melange
google/gsoc2012/aditya12agd5/11001,Aditya Deshpande,Improve OpenJPEG2000 Encoding Decoding Time,Grassroots DICOM
google/gsoc2012/addud/11001,Adrian Dudau, Multi-Sink Tree Routing,The Wiselib
google/gsoc2012/budrys/19002,Adrian Jamróz,VIA Rhine and VIA Velocity Driver Rewrite,iPXE
google/gsoc2012/spiriad/5001,Adrian Spiridon,Testing,Network Time
google/gsoc2012/aericson/4001,aericson,Multidisk Support for the Syslinux Project,Kernel.org - the Linux Kernel Organization
google/gsoc2012/trombone_andi/8001,afruehwirt,Project: Music Composer for Catroid,Catroid Project
google/gsoc2012/ahmadali/18002,ahmad.alinat,Export of Information about Those Missing and Found,Sahana Software Foundation
google/gsoc2012/ahmdrefat/17001,ahmd refat twfik,Implementation of PageOneX project for an online platform,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/aish/60002,Aish Raj Dahal,Metalink/HTTP support in KGet,Metalink
google/gsoc2012/ajit_jain/12001,Ajit Jain,Meta-Metadata SDK,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/sanghi/15001,Akarsh Sanghi,Interface 3D Model Inputs via Kinect to Zeega ,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/akdroid/13001,Akhil Rao,Tecla as an input device for desktops.,Komodo OpenLab
google/gsoc2012/akhil_iiit/9001,Akhil Vij,SysV-init file creator from systemd service files  ,Debian Project 
google/gsoc2012/akshay2047/46001,akshay,JRuby on Android: Ruboto,The JRuby Project
google/gsoc2012/axitkhurana/15002,Akshit Khurana,Popularity contest for RPM (popcorn),openSUSE
google/gsoc2012/java/29002,Akshya Chugh,Convention Extension,Wikimedia Foundation
google/gsoc2012/alanyjw/8001,Alan Yeo,Mobile Apps,"Learning Unlimited, Inc."
google/gsoc2012/alcoheca/6001,Alasdair Campbell,Improved UPnP serving and client,XBMC Foundation
google/gsoc2012/withad/42001,Alasdair Corbett,Flash Card Android App,Connexions
google/gsoc2012/alycm/17001,Alastair Murray,Profile-Guided Optimization Enhancements,The LLVM Compiler Infrastructure 
google/gsoc2012/alastairp/8001,Alastair Porter,Musicbrainz Collections management,MetaBrainz Foundation Inc.
google/gsoc2012/amakelov/27001,Aleksandar Makelov,Group Theory,SymPy
google/gsoc2012/anikolic/10001,Aleksandar Nikolic,Nmap Scripting Engine - Vulnerability and exploitation specialist,Nmap Security Scanner
google/gsoc2012/adutkowski/8001,Aleksander Dutkowski,Port FreeBSD/arm to BeagleBoard-xM,FreeBSD
google/gsoc2012/aleksey/22002,Aleksey Cherepanov,Automation equipped working place of a hash cracker,Openwall
google/gsoc2012/andrioni/7001,Alessandro Andrioni,Python API for manipulating games,The Gambit Project
google/gsoc2012/cosenal/40001,Alessandro Cosentino,A feed aggregator for ownCloud,KDE
google/gsoc2012/alex_animux/30001,Alex,GNU Mailman: NNTP access to the archives,Python Software Foundation
google/gsoc2012/adhoc__/9001,Alex Bothe,Mono-D,Digital Mars
google/gsoc2012/scialex/11001,Alex Light,Implement fast generic Path finding in PySoy.,Python Software Foundation
google/gsoc2012/alexukf/15001,Alex Marin,Two approaches for Plugins and OOP and an object-oriented properties system,phpMyAdmin
google/gsoc2012/xyzzy/21002,Alex Smith,x86_64 port,Haiku
google/gsoc2012/al_da_best/28001,Alex Taylor,Non-vacuum Gravity Simulator,BRL-CAD
google/gsoc2012/atsui/6007,Alex Tsui,Port and extension of 2D arrangements demo,CGAL - Computational Geometry Algorithms Library 
google/gsoc2012/alex_yaremenko/11001,Alex Yaremenko,Porting OI ShoppingList to Windows Phone 7,OpenIntents
google/gsoc2012/albu/17001,Alexander Buslaev,Fast Linear Programming solver,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/chebaturkin/25002,Alexander Chebaturkin,Code Contracts Static Verifier: Continued,Mono Project
google/gsoc2012/acgessler/24001,Alexander Gessler,FBX Importer,Blender Foundation
google/gsoc2012/allixender/14001,Alexander Kmoch,Exchangeable Encodings for SOS - extension support WaterML2,52°North Initiative for Geospatial Open Source Software GmbH
google/gsoc2012/akorotkov/53002,Alexander Korotkov,Better indexing for ranges,PostgreSQL Project
google/gsoc2012/alexandermokhov/10001,Alexander Mokhov,"Developing of modeling Tools: Bevel, Bridge, Boolean.",Blender Foundation
google/gsoc2012/znah/29002,Alexander Mordvintsev,Python examples for OpenCV,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/amo3/12002,Alexander Morrow,DeSTIN/OpenCog integration,OpenCog Foundation
google/gsoc2012/pashaliyski/25001,Alexander Pashaliyski,Clang support for build services,Debian Project 
google/gsoc2012/apinzof/11001,Alexander Pinzon Fernandez,Mesh smoothing based on curvature flow operator in a diffusion equation.,Blender Foundation
google/gsoc2012/apronin/13001,Alexander Pronin,Parallelization in the ports collection,FreeBSD
google/gsoc2012/unlogic/11001,Alexander Yakushev,Toolchain for dynamic Clojure development on Android,Clojure/dev
google/gsoc2012/alexku/20001,Alexandr Kuznetsov,OpenGL Mobile Compatibility and Android Port,Blender Foundation
google/gsoc2012/a_g_pirogov/10001,Alexandr Pirogov,Open Source Infrared Frame,Natural User Interface Group
google/gsoc2012/alexandreyc/8001,Alexandre Crayssac,statsmodels : estimating system of equations ,Python Software Foundation
google/gsoc2012/alexginsca/47002,Alexandru Lucian Ginsca,Segment Topic Detection,Opencast Matterhorn 
google/gsoc2012/tomy91/13001,Alexandru-Dan Tomescu,Postprocessing Framework,CMUSphinx
google/gsoc2012/jwb/24003,Alexey Vasin,The Compressor Mark-Compact Garbage Collector,Jikes RVM
google/gsoc2012/alexkvienna/4001,alexkvienna,"R: disclose: Make data confidential - easy, fast and sophisticated",Computational Science and Engineering at TU Wien
google/gsoc2012/alex_sever_h/13001,AlexS,Porting NXLib and updating libraries in RTEMSGraphicsToolkit,RTEMS Project
google/gsoc2012/ahorva/23002,Aleš Horvat,Apertium-sl-sh: machine translation between Slovene and Serbo-Croatian,Apertium
google/gsoc2012/lifus/22001,Aliaksei Palkanau,Write/read IR to/from disk,The JRuby Project
google/gsoc2012/alinpredoi/25003,Alin Predoi,Site Status,Umit Project
google/gsoc2012/alina_kuznetsova/15001,Alina Kuznetsova,Hand tracking with Kinect,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/akihara/18001,Aline Riss,Akihara - Refactoring recruitment algorithm,Battle For Wesnoth
google/gsoc2012/xalan/44003,Allan Avendaño,Statistical Inference Operator on Pig  (List Operators) ,Apache Software Foundation
google/gsoc2012/asteig/8001,Amanda Steigerwalt,HTML5 Image Editor,Inclusive Design Institute
google/gsoc2012/dedman/16001,Amandeep Singh,Focus Tracking in KWin / KMagnifier,KDE
google/gsoc2012/amaurymedeiros/38002,Amaury Medeiros,Deploying Freeseer cross-platform,Freeseer recording and streaming suite
google/gsoc2012/ambarisha/57002,Ambarisha,LwIP Support,MINIX 3
google/gsoc2012/amberjain/17001,Amber Jain,Packages for Ubuntu (and other Unix-like systems) and Cygwin port,OpenCog Foundation
google/gsoc2012/ambrosebs/10001,Ambrose Bonnaire-Sergeant,Typed Clojure (Optional Static Type System),Clojure/dev
google/gsoc2012/amela/26002,Amela Rakanović,Widgets for statistics,Orange – Data Mining Fruitful & Fun
google/gsoc2012/amertahir/14002,Amer Tahir,Floodlight Firewall Application,OpenFlowHub
google/gsoc2012/amixpal/89002,Amit Pal,Network Administrator to the cloud land,Umit Project
google/gsoc2012/amitsaha/24001,Amit Saha,On-Demand Fedora Build Service,The Fedora Project
google/gsoc2012/ahuaman/21002,ana,Making OpenCV friendly,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/coconut/18001,Ana Cutillas,Making the Mailman essays more flexible,Systers
google/gsoc2012/anakreon/10001,Anakreontas,Human Automation Interaction Patterns,The Java Pathfinder Team
google/gsoc2012/anantk/22001,Anant Kamath,Implementing hard disk health monitoring and improving ISO file management features in KDE,KDE
google/gsoc2012/alushnikov/13001,Anatoly Lushnikov,CCV 2.0,Natural User Interface Group
google/gsoc2012/anca_dumitrache/3001,Anca Dumitrache,Extend microdata support to contrib field types,Drupal
google/gsoc2012/anderpijoan/14001,Ander Pijoan,OpenStreetMap vector rendering with tiling support for Marble,KDE
